epochs,iter,train_acc_history,train_auc_history,train_loss_history,train_sensitivity_history,train_specificity_history,val_acc_history,val_auc_history,val_loss_history,val_sensitivity_history,val_specificity_history,backbone,Usando OCT,Dual Image,optim,lr,frac_val,k_fold,model_id
65,1,0.7221297836938436,0.5,350.9214697480202,0.0,1.0,0.713375796178344,0.5108695652173914,94.92850112915039,0.021739130434782608,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
66,1,0.7221297836938436,0.507367752973316,354.7602998018265,0.023952095808383235,0.9907834101382489,0.7070063694267517,0.5,96.54175537824631,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
67,1,0.7221297836938436,0.5,351.92838245630264,0.0,1.0,0.7070063694267517,0.5,93.2582106590271,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
68,1,0.7221297836938436,0.5,353.05098950862885,0.0,1.0,0.7070063694267517,0.5,94.23290359973907,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
69,1,0.718801996672213,0.4976958525345622,351.79770186543465,0.0,0.9953917050691244,0.7070063694267517,0.5,94.53431421518326,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
70,1,0.7221297836938436,0.5,353.39096653461456,0.0,1.0,0.7070063694267517,0.5,92.00120654702187,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
71,1,0.7221297836938436,0.5,355.0418851971626,0.0,1.0,0.7070063694267517,0.5,93.64469695091248,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
72,1,0.7221297836938436,0.5,351.74305087327957,0.0,1.0,0.7070063694267517,0.5,93.23852264881134,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
73,1,0.7221297836938436,0.5,350.6753809452057,0.0,1.0,0.7070063694267517,0.5,94.84458190202713,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
74,1,0.7221297836938436,0.5,354.68311047554016,0.0,1.0,0.7070063694267517,0.5,95.05213677883148,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
75,1,0.7221297836938436,0.5,355.25764083862305,0.0,1.0,0.7070063694267517,0.5,92.084691375494,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
76,1,0.7221297836938436,0.5,355.58709159493446,0.0,1.0,0.7070063694267517,0.5,92.88531816005707,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
77,1,0.7221297836938436,0.5,352.6862810254097,0.0,1.0,0.7070063694267517,0.5,93.84975618124008,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
78,1,0.718801996672213,0.4995377907778912,356.97271394729614,0.005988023952095809,0.9930875576036866,0.7070063694267517,0.5,95.22332829236984,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
79,1,0.7237936772046589,0.5029940119760479,349.24736922979355,0.005988023952095809,1.0,0.7006369426751593,0.5018605562083823,94.23682188987732,0.021739130434782608,0.9819819819819819,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
80,1,0.7088186356073212,0.4981511631115649,358.2034291625023,0.023952095808383235,0.9723502304147466,0.7070063694267517,0.5,95.2382949590683,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
81,1,0.7204658901830283,0.4988479262672811,352.0278815329075,0.0,0.9976958525345622,0.6433121019108281,0.4740501370936154,110.86127525568008,0.06521739130434782,0.8828828828828829,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
82,1,0.7221297836938436,0.5,346.3057760298252,0.0,1.0,0.7070063694267517,0.5,94.7238048017025,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
83,1,0.7221297836938436,0.5,355.2925871014595,0.0,1.0,0.7070063694267517,0.5,92.58392733335495,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
84,1,0.7204658901830283,0.5006898645106101,353.5387199521065,0.005988023952095809,0.9953917050691244,0.7006369426751593,0.4954954954954955,95.79976534843445,0.0,0.990990990990991,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
85,1,0.7221297836938436,0.5,350.1732442975044,0.0,1.0,0.713375796178344,0.5108695652173914,93.32030427455902,0.021739130434782608,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
86,1,0.7221297836938436,0.5018419382433289,348.8380727171898,0.005988023952095809,0.9976958525345622,0.7070063694267517,0.5,98.27246588468552,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
87,1,0.7221297836938436,0.5,351.85382157564163,0.0,1.0,0.7070063694267517,0.5,95.38687407970428,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
88,1,0.7204658901830283,0.5006898645106101,348.7219184041023,0.005988023952095809,0.9953917050691244,0.713375796178344,0.5108695652173914,92.63274961709976,0.021739130434782608,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
89,1,0.7271214642262895,0.5310852948480917,352.10610377788544,0.08982035928143713,0.9723502304147466,0.7070063694267517,0.5,94.74396139383316,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
90,1,0.7221297836938436,0.5,355.2406296133995,0.0,1.0,0.7070063694267517,0.5,93.92616266012192,0.0,1.0,resnet,Não,Não,radam,0.01,0.2,,1f989ad28cd24b1a97f4cfac3d2dae28
