model_id,k_fold,frac_val,val_best_acc,val_best_auc,val_best_sp,val_best_sn,val_avg_acc,val_avg_auc,val_avg_sp,val_avg_sn,train_best_acc,train_best_auc,train_best_sp,train_best_sn,train_avg_acc,train_avg_auc,train_avg_sp,train_avg_sn,host_name,optim,lr,epochs,double_img,output_tab,backbone,early_start,timestamp,total_hours,average_cross_hours,torchvision_version,torch_version,history_added,shap_val,shap_oos,pred_val,pred_oos,batch_size,Usando OCT,Dual Image,group_backbone,regnet_vs_other,rank_max_auc,rank_avg_auc,rank_max_auc_oct_double,rank_avg_auc_oct_double,rank_avg
f1138e67c1ac4e0c864fdc670ada7d74,,0.2,0.9490445859872612,0.925773599686643,1.0,0.9565217391304348,0.8857324840764329,0.8274050137093613,0.9682882882882884,0.6865217391304347,0.9717138103161398,0.9601534258671596,0.9907834101382488,0.934131736526946,0.9350915141430948,0.9054542067937856,0.9721658986175116,0.8387425149700598,magneto,radam,0.01,100.0,0.0,5.0,mobile,100.0,2022-11-18 12:51:00.573823,04:13:38.21,04:13:38.21,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,other,other,47,93,33,58,57.75
6fc7a51db20949679972282d7e0a2d77,,0.2,0.9554140127388536,0.949373286329808,1.0,0.9347826086956522,0.919363057324841,0.8764580885233059,0.98009009009009,0.7728260869565216,0.9800332778702164,0.9661414498192554,1.0,0.9461077844311376,0.9423128119800332,0.9152064074615748,0.9762211981566822,0.854191616766467,magneto,ranger,0.01,100.0,0.0,5.0,shuffle,100.0,2022-11-18 17:00:41.471754,04:09:24.18,04:09:24.18,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,other,other,1,1,1,1,1.0
40f4ad63a06a44e3ac6e5dac4e950e3a,,0.2,0.9554140127388536,0.93213866039953,1.0,0.9565217391304348,0.9037579617834394,0.8512916177046612,0.978018018018018,0.7245652173913042,0.9700499168053244,0.9573870691796132,1.0,0.940119760479042,0.937504159733777,0.906719487292696,0.9760138248847928,0.8374251497005987,magneto,radam,0.01,100.0,0.0,5.0,shuffle,100.0,2022-11-18 17:00:59.970625,04:09:42.67,04:09:42.67,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,other,other,21,28,16,21,21.5
5caf97a4915e465ab7dd55aa9ec3bcbb,,0.2,0.9490445859872612,0.9276341558950254,1.0,0.9347826086956522,0.9010828025477708,0.8506090873482178,0.9725225225225226,0.728695652173913,0.9633943427620631,0.9479428240293606,1.0,0.9281437125748504,0.9296339434276208,0.8958917188664145,0.9718433179723504,0.819940119760479,magneto,adam,0.01,100.0,0.0,5.0,efficient,100.0,2022-11-18 21:12:13.147527,04:10:25.50,04:10:25.50,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,other,other,38,30,29,22,29.75
327afbf4105d480db6abdc576786dd45,,0.2,0.9490445859872612,0.93213866039953,1.0,0.8913043478260869,0.9001910828025477,0.8478143360752054,0.9743243243243244,0.7213043478260869,0.966722129783694,0.953013328182345,0.9953917050691244,0.9221556886227544,0.9324625623960068,0.8958977896741083,0.9782027649769586,0.8135928143712574,magneto,ranger,0.01,100.0,0.0,5.0,regnet16y,100.0,2022-11-19 01:27:32.133427,04:15:02.30,04:15:02.30,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,regnety,regnety,22,33,17,25,24.25
09dca82d93af4020888e33954bc68efd,,0.2,0.9490445859872612,0.9339992166079124,1.0,0.9130434782608696,0.8992356687898089,0.846120250685468,0.9744144144144146,0.7178260869565217,0.966722129783694,0.956697204669003,1.0,0.934131736526946,0.9350748752079868,0.9007825823008362,0.977972350230415,0.8235928143712576,magneto,radam,0.01,100.0,0.0,5.0,regnet16y,100.0,2022-11-19 01:27:54.114084,04:15:24.28,04:15:24.28,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,regnety,regnety,19,37,14,29,24.75
55c0850e681d496ebc7771e6f9c6a497,,0.2,0.9490445859872612,0.9385037211124168,1.0,0.9130434782608696,0.915987261146497,0.8719702311006656,0.9782882882882884,0.7656521739130434,0.9683860232945092,0.953013328182345,1.0,0.9221556886227544,0.9441430948419304,0.9175604321311296,0.9773963133640554,0.8577245508982037,magneto,adam,0.01,100.0,0.0,5.0,regnet16y,100.0,2022-11-19 01:28:28.173968,04:15:58.32,04:15:58.32,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,regnety,regnety,9,3,6,3,5.25
e57b80f4ac794719a3eb16ef3b4a9f02,,0.2,0.9490445859872612,0.925773599686643,1.0,0.8913043478260869,0.9071974522292992,0.8588797493145318,0.9755855855855856,0.7421739130434782,0.966722129783694,0.949329451695687,1.0,0.9101796407185628,0.942179700499168,0.9127749799939292,0.978963133640553,0.8465868263473055,magneto,adam,0.01,100.0,0.0,5.0,regnet32y,100.0,2022-11-19 05:42:52.438280,04:14:07.70,04:14:07.70,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,regnety,regnety,48,11,34,8,25.25
387edfc944e54957939b12daa93e1c5e,,0.2,0.9490445859872612,0.925773599686643,1.0,1.0,0.906751592356688,0.8640383862122991,0.9672072072072072,0.7608695652173912,0.9650582362728786,0.9507091807169072,1.0,0.9221556886227544,0.9427121464226288,0.9134567730897653,0.9793087557603688,0.8476047904191617,magneto,adam,0.01,100.0,0.0,5.0,regnetx,100.0,2022-11-21 09:13:09.933932,08:59:52.86,08:59:52.86,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,regnetx,regnety,49,8,35,5,24.25
8a6f1179550144599a21389392d359af,,0.2,0.9490445859872612,0.9149040344692518,1.0,0.8695652173913043,0.8951592356687896,0.8450195848021935,0.966126126126126,0.7239130434782609,0.9650582362728786,0.948867242473578,1.0,0.9161676646706588,0.9312312811980032,0.8927059935428684,0.9794239631336406,0.8059880239520958,magneto,adam,0.001,100.0,0.0,5.0,regnetx,100.0,2022-11-21 09:15:04.044035,08:56:51.62,08:56:51.62,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,regnetx,regnety,111,40,66,31,62.0
a84b727486aa4cb085b6332374adff94,,0.2,0.9554140127388536,0.9366431649040344,1.0,0.8913043478260869,0.8992993630573247,0.8417734038386212,0.9807207207207206,0.7028260869565217,0.9717138103161398,0.956697204669003,1.0,0.934131736526946,0.9335108153078202,0.8946711415877923,0.9820967741935483,0.8072455089820358,magneto,ranger,0.01,100.0,0.0,5.0,resnet,100.0,2022-11-23 09:04:11.093556,06:01:20.59,06:01:20.59,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,other,other,13,56,8,43,30.0
4872924f919941e29fe4495b48e4170f,,0.2,0.9554140127388536,0.93213866039953,1.0,0.9130434782608696,0.910636942675159,0.8636672542107324,0.977117117117117,0.7502173913043478,0.9733777038269552,0.9613054995998788,1.0,0.940119760479042,0.9398003327787025,0.9082725102789811,0.9792396313364056,0.8373053892215571,magneto,ranger,0.01,100.0,0.0,5.0,regnet32x,100.0,2022-11-24 00:24:18.868025,05:16:26.91,05:16:26.91,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,regnetx,regnety,24,9,18,6,14.25
e12be73042af4ef995d8ea596098b5cf,,0.2,0.9490445859872612,0.93213866039953,1.0,0.9347826086956522,0.9150318471337578,0.8721220133176654,0.975765765765766,0.7684782608695652,0.9700499168053244,0.9590013521344408,0.9930875576036866,0.940119760479042,0.9458069883527452,0.920978089903143,0.9768663594470048,0.8650898203592816,magneto,adam,0.01,100.0,0.0,5.0,regnet32x,100.0,2022-11-24 05:39:10.148357,05:10:40.84,05:10:40.84,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,regnetx,regnety,25,2,19,2,12.0
b3f9f65b9108438ba9be668c0457b5e8,,0.2,0.9490445859872612,0.93213866039953,1.0,0.8913043478260869,0.9059235668789808,0.8549236192714453,0.9781081081081082,0.7317391304347826,0.966722129783694,0.9562349954468944,1.0,0.940119760479042,0.934226289517471,0.8990530229862855,0.978225806451613,0.819880239520958,magneto,radam,0.01,100.0,0.0,5.0,regnetx,100.0,2022-11-28 06:19:07.409713,08:35:37.17,08:35:37.17,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,regnetx,regnety,26,19,20,15,20.0
0c3b13a51c814f608470f8144caf42ad,,0.2,0.9490445859872612,0.93213866039953,1.0,0.9347826086956522,0.8979617834394902,0.8405092048570307,0.9792792792792794,0.7017391304347825,0.9717138103161398,0.9601534258671596,1.0,0.934131736526946,0.9301830282861896,0.8922933165926211,0.9775806451612904,0.8070059880239521,magneto,radam,0.01,100.0,0.0,5.0,regnet16x,100.0,2022-11-28 06:51:11.125018,08:53:14.18,08:53:14.18,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,regnetx,regnety,27,60,21,44,38.0
e0135a364dbf4a9e9f7d062b11d88591,,0.2,0.9490445859872612,0.925773599686643,1.0,0.9782608695652174,0.8619108280254779,0.8179416372894633,0.924144144144144,0.7117391304347827,0.978369384359401,0.9691354617953034,1.0,0.9520958083832336,0.9218635607321132,0.8831069427964349,0.9703456221198158,0.795868263473054,magneto,radam,0.001,100.0,0.0,5.0,regnet32x,100.0,2022-11-29 03:52:20.032679,08:28:35.93,08:28:35.93,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,regnetx,regnety,51,119,36,72,69.5
1ef07bf9278c4efe8c07be317f85437d,,0.2,0.9490445859872612,0.925773599686643,1.0,0.9130434782608696,0.8935668789808918,0.842556795926361,0.965765765765766,0.7193478260869566,0.9700499168053244,0.9578492784017218,1.0,0.934131736526946,0.9339434276206324,0.8986729766273904,0.9780645161290324,0.8192814371257484,magneto,radam,0.01,100.0,0.0,5.0,regnet32x,100.0,2022-11-29 04:13:00.185455,08:16:57.08,08:16:57.08,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,regnetx,regnety,52,53,37,42,46.0
0f96d68ebbfc40b695c7a4c44ad07982,,0.2,0.9490445859872612,0.9294947121034078,1.0,0.9130434782608696,0.8966242038216561,0.8437641989815904,0.9714414414414416,0.7160869565217389,0.9717138103161398,0.9578492784017218,1.0,0.934131736526946,0.9300665557404326,0.8912917023096665,0.9785714285714286,0.8040119760479041,magneto,ranger,0.01,100.0,0.0,5.0,inception,100.0,2022-12-07 02:26:03.451454,04:05:43.42,04:05:43.42,0.13.0+cu113,1.12.0+cu113,1.0,0,0,0,0,16,Sim,Não,other,other,33,47,25,37,35.5
